omim_id	omim_title	omim_description	omim_phenotype	api_lethal_hits	phenotype	section_matched	search_term	gene_symbol	hgnc_id	phenotypes	mode_of_inheritance	needs_date_check	lethal_hit_phenotype_included	lethality_quote	lethality_category_hpo	evidence_from_proband	evidence_from_family_members	disease_gene_lethal	gene_lethal	gene_lethal_summary	all_lethality_categories	earliest_lethality_category	merged_earliest_lethality_category
100100	PRUNE BELLY SYNDROME	Prune belly syndrome, 100100 (3)	Prune belly syndrome	y	PRUNE BELLY SYNDROME; PBS	Clinical Features	died	CHRM3	HGNC:1952	Prune belly syndrome, 100100 (3), Autosomal recessive	Autosomal recessive	y	n	-	-	-	-	ambiguous	ambiguous	ambiguous	-	-	-
100300	ADAMS-OLIVER SYNDROME 1	Adams-Oliver syndrome 1, 100300 (3)	Adams-Oliver syndrome 1	y	ADAMS-OLIVER SYNDROME 1; AOS1	Clinical Features	died|fatal	ARHGAP31	HGNC:29216	Adams-Oliver syndrome 1, 100300 (3), Autosomal dominant	Autosomal dominant	y	y	[Toriello et al. (1988) described cutis marmorata telangiectatica congenita in a child with the Adams-Oliver syndrome. He also had pulmonary hypertension in association with pulmonary vein stenosis and died at age 4 months of cardiopulmonary arrest]	L3	y	-	lethal	lethal	lethal	L3	L3	pre-infant-lethal
100800	ACHONDROPLASIA	Achondroplasia, 100800 (3)	Achondroplasia	y	ACHONDROPLASIA; ACH	Clinical Features|Phenotype	death|deaths|died|lethal	FGFR3	HGNC:3690	Achondroplasia, 100800 (3), Autosomal dominant	Autosomal dominant	y	y	[Pauli et al. (1984) focused attention on the risk of sudden unexpected death in infants with achondroplasia. While uncontrolled and retrospective, their study demonstrated an excess of deaths in the first year of life, most or all of which were attributable to abnormalities at the craniocervical junction]	L3	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L2|L3	L2	pre-infant-lethal
101000	SCHWANNOMATOSIS, VESTIBULAR	Schwannomatosis, vestibular, 101000 (3)	Schwannomatosis, vestibular	y	SCHWANNOMATOSIS, VESTIBULAR; SWNV	Clinical Features	death|deaths	NF2	HGNC:7773	Schwannomatosis, vestibular, 101000 (3), Autosomal dominant	Autosomal dominant	y	Y	[The average age at death of affected persons in the second generation was 72, in the third generation 63, in the fourth 42, and in the fifth 28.]	L6	y	-	lethal	lethal	lethal	L6	L6	post-infant-lethal
101200	APERT SYNDROME	Apert syndrome, 101200 (3)	Apert syndrome	y	APERT SYNDROME	Clinical Features	stillborn	FGFR2	HGNC:3689	Apert syndrome, 101200 (3), Autosomal dominant	Autosomal dominant	y	y	[Cohen and Kreiborg (1995) studied 44 pairs of hands and 37 pairs of feet in Apert syndrome, usingclinical, dermatoglyphic, and radiographic methods. They also studied histologic sections of the hand from a 31-week stillborn fetus]	L1	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L1|L2|L3	L1	pre-infant-lethal
101400	SAETHRE-CHOTZEN SYNDROME	Saethre-Chotzen syndrome, 101400 (3)	Saethre-Chotzen syndrome	n	-	-	-	FGFR2	HGNC:3689	Saethre-Chotzen syndrome, 101400 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	lethal|nonlethal	lethal|nonlethal	L1|L2|L3	L1	pre-infant-lethal
101400	SAETHRE-CHOTZEN SYNDROME	Saethre-Chotzen syndrome with or without eyelid anomalies, 101400 (3)	Saethre-Chotzen syndrome with or without eyelid anomalies	n	-	-	-	TWIST1	HGNC:12428	Saethre-Chotzen syndrome with or without eyelid anomalies, 101400 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
101600	PFEIFFER SYNDROME	Pfeiffer syndrome, 101600 (3)	Pfeiffer syndrome	y	PFEIFFER SYNDROME	Description|Clinical Synopsis|Phenotype	demise|death|deaths|died	FGFR1	HGNC:3688	Pfeiffer syndrome, 101600 (3), Autosomal dominant	Autosomal dominant	n	y	[Early demise is characteristic of types 2 and 3 /***Most patients with this form died shortly after birth (in Molecular Genetics field)]	L2	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L2|L3	L2	pre-infant-lethal
101600	PFEIFFER SYNDROME	Craniofacial-skeletal-dermatologic dysplasia, 101600 (3)	Craniofacial-skeletal-dermatologic dysplasia	y	PFEIFFER SYNDROME	Description|Clinical Synopsis|Phenotype	demise|death|deaths|died	FGFR2	HGNC:3689	Craniofacial-skeletal-dermatologic dysplasia, 101600 (3), Autosomal dominant	Autosomal dominant	n	y	[Early demise / died shortly after birth]	L2	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L1|L2|L3	L1	pre-infant-lethal
101600	PFEIFFER SYNDROME	Pfeiffer syndrome, 101600 (3)	Pfeiffer syndrome	y	PFEIFFER SYNDROME	Description|Clinical Synopsis|Phenotype	demise|death|deaths|died	FGFR2	HGNC:3689	Pfeiffer syndrome, 101600 (3), Autosomal dominant	Autosomal dominant	n	y	[Early demise / died shortly after birth]	L2	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L1|L2|L3	L1	pre-infant-lethal
