hgnc_id	gene_symbol	mean_depmap_gene_effect_score	depmap_essential_05	depmap_essential_1	mgi_id	viability_impc	viability_mgi	viability_combined	lof_oe	lof_oe_lower	lof_oe_upper	shet_rgcme_mean	shet_rgcme_lower	shet_rgcme_upper	omim_description	omim_mendelian_phenotype_molecular_basis_known	mode_of_inheritance
HGNC:5	A1BG	-0.038	n	n	-	-	-	-	1.0463	0.823	1.342	0.00905016852176621	0.00784329561158046	0.010465392701695	-	-	-
HGNC:24086	A1CF	-0.087	n	n	MGI:1917115	viable	lethal	lethal	0.64381	0.506	0.825	0.0253129487916514	0.0215068476848782	0.0297784407003995	-	-	-
HGNC:7	A2M	0.048	n	n	MGI:2449119	viable	-	viable	0.64584	0.546	0.766	0.0190119366269737	0.0172110921164545	0.021051812490167	-	-	-
HGNC:23336	A2ML1	0.074	n	n	-	-	-	-	0.83121	0.725	0.954	NA	NA	NA	{Otitis media, susceptibility to}, 166760 (3)	-	-
HGNC:30005	A3GALT2	-0.123	n	n	MGI:2685279	viable	-	viable	1.0228	0.699	1.53	0.0150914200833977	0.0111262291478292	0.0205570478175748	-	-	-
HGNC:18149	A4GALT	0.064	n	n	MGI:3512453	viable	viable	viable	0.61691	0.303	1.394	0.00541313866777207	0.00394994650777902	0.00739783341755054	NOR polyagglutination syndrome, 111400 (3)|[Blood group, P1Pk system, P(2) phenotype], 111400 (3)|[Blood group, P1Pk system, p phenotype], 111400 (3)	NOR polyagglutination syndrome	-
HGNC:17968	A4GNT	0.074	n	n	MGI:2143261	-	viable	viable	0.70139	0.383	1.377	0.0224048054985752	0.012749134457483	0.0394377803402553	-	-	-
HGNC:13666	AAAS	-0.148	n	n	MGI:2443767	-	viable	viable	0.74507	0.605	0.922	0.0065180392310272	0.00600050801888713	0.0070783914922339	Achalasia-addisonianism-alacrimia syndrome, 231550 (3)	Achalasia-addisonianism-alacrimia syndrome	Autosomal recessive
HGNC:21298	AACS	-0.021	n	n	MGI:1926144	viable	viable	viable	0.7876	0.644	0.968	0.0046572487841561	0.00430069339938689	0.00504205337823616	-	-	-
HGNC:17	AADAC	0.145	n	n	MGI:1915008	viable	viable	viable	0.74201	0.501	1.127	0.00733177473419879	0.00604847056709357	0.00890058665303447	-	-	-
HGNC:24427	AADACL2	-0.013	n	n	MGI:3646333	viable	-	viable	1.0551	0.741	1.53	0.00316572634307642	0.00288893860632918	0.0034671193658435	-	-	-
HGNC:32037	AADACL3	0.066	n	n	-	-	-	-	0.73765	0.454	1.251	0.0172256592055625	0.0119414360534673	0.0248210604497191	-	-	-
HGNC:32038	AADACL4	-0.027	n	n	-	-	-	-	0.60952	0.366	1.064	0.0132662063118008	0.00995045009901691	0.0176938426302724	-	-	-
HGNC:17929	AADAT	-0.057	n	n	MGI:1345167	-	viable	viable	0.39372	0.255	0.626	0.050244648425826	0.0362390426824556	0.0698608916847399	-	-	-
HGNC:25662	AAGAB	-0.015	n	n	-	-	-	-	0.83933	0.618	1.157	0.00458269856725372	0.00414512022663574	0.00505574388550472	Keratoderma, palmoplantar, punctate type IA, 148600 (3)	Keratoderma, palmoplantar, punctate type IA	Autosomal dominant
HGNC:19679	AAK1	-0.15	n	n	MGI:1098687	subviable	lethal	lethal	0.2964	0.219	0.406	0.113017945042428	0.0820721737133246	0.155869101989283	-	-	-
HGNC:30205	AAMDC	-0.011	n	n	-	-	-	-	1.0128	0.668	1.573	0.0125816861259005	0.00958549121176287	0.0164370334472177	-	-	-
HGNC:18	AAMP	-1.116	y	y	MGI:107809	lethal	lethal	lethal	0.23	0.146	0.373	0.0463811599545814	0.0340492893535041	0.0636495114929662	-	-	-
HGNC:19	AANAT	-0.072	n	n	MGI:1328365	viable	viable	viable	0.77632	0.488	1.284	0.0284812910622711	0.0178833708394243	0.0449012375956131	-	-	-
HGNC:15886	AAR2	-0.004	n	n	-	-	-	-	1.0922	0.82	1.474	0.00390004695873504	0.00344841026698979	0.00441772267225853	-	-	-
HGNC:33842	AARD	-0.135	n	n	MGI:2181621	viable	-	viable	1.0311	0.618	1.719	0.00535280935409978	0.00417136349158596	0.00689351938739185	-	-	-
HGNC:20	AARS1	-2.059	y	y	MGI:2384560	-	viable	viable	0.6323	0.52	0.773	0.0226889865614778	0.0200286953597136	0.0257099817201559	?Leukoencephalopathy, hereditary diffuse, with spheroids 2, 619661 (3)|Charcot-Marie-Tooth disease, axonal, type 2N, 613287 (3)|Developmental and epileptic encephalopathy 29, 616339 (3)|Trichothiodystrophy 8, nonphotosensitive, 619691 (3)	Charcot-Marie-Tooth disease, axonal, type 2N|Developmental and epileptic encephalopathy 29|Trichothiodystrophy 8, nonphotosensitive	Autosomal dominant|Autosomal recessive
HGNC:21022	AARS2	-0.363	n	n	MGI:2681839	lethal	lethal	lethal	0.62385	0.519	0.753	0.0149280178094567	0.0134985846494917	0.0164939440423186	Combined oxidative phosphorylation deficiency 8, 614096 (3)|Leukoencephalopathy, progressive, with ovarian failure, 615889 (3)	Combined oxidative phosphorylation deficiency 8|Leukoencephalopathy, progressive, with ovarian failure	Autosomal recessive
HGNC:28417	AARSD1	-0.167	n	n	-	-	-	-	0.87837	0.693	1.123	0.00135968835169358	0.00128756464848439	0.00143630214109233	-	-	-
HGNC:23993	AASDH	-0.137	n	n	MGI:2442517	viable	viable	viable	0.77382	0.635	0.947	0.0137190265791352	0.0121705222821635	0.0154200805517775	-	-	-
HGNC:14235	AASDHPPT	-0.325	n	n	MGI:1914868	lethal	lethal	lethal	0.48989	0.327	0.754	0.0163235629650449	0.0131877291064278	0.020206070965351	-	-	-
HGNC:17366	AASS	-0.015	n	n	MGI:1353573	viable	viable	viable	0.78589	0.654	0.949	0.0130355522459669	0.0115562591167532	0.0147587246078061	Hyperlysinemia, 238700 (3)	Hyperlysinemia	Autosomal recessive
HGNC:19235	AATF	-0.861	y	n	MGI:1929608	lethal	lethal	lethal	0.80893	0.638	1.034	0.00276988992805724	0.00260265032077625	0.00294673724615986	-	-	-
HGNC:21	AATK	-0.144	n	n	MGI:1197518	-	viable	viable	1.3237	1.116	1.576	0.0387668139856405	0.0322112738113776	0.0466568309071922	-	-	-
HGNC:23	ABAT	-0.025	n	n	MGI:2443582	lethal	lethal	lethal	0.68024	0.535	0.872	0.0323267451450873	0.0258953907196505	0.040298896054053	GABA-transaminase deficiency, 613163 (3)	GABA-transaminase deficiency	Autosomal recessive
HGNC:29	ABCA1	0.061	n	n	MGI:99607	lethal	lethal	lethal	0.48677	0.421	0.563	0.0298984575310832	0.0269338853093489	0.0331100005005811	HDL deficiency, familial, 1, 604091 (3)|Tangier disease, 205400 (3)	HDL deficiency, familial, 1|Tangier disease	Autosomal dominant|Autosomal recessive
HGNC:32	ABCA2	0.076	n	n	MGI:99606	viable	viable	viable	0.36333	0.303	0.436	0.0990722880401429	0.0810436191192652	0.120717668126422	Intellectual developmental disorder with poor growth and with or without seizures or ataxia, 618808 (3)	Intellectual developmental disorder with poor growth and with or without seizures or ataxia	Autosomal recessive
